"FLEX_VALUE";"DESCRIPTION";"FLEX_VALUE||'00'";"DESCRIPTION_1";
"930321";"AUTRE FRAIS DE PERSONNEL PRODUCTIFS";"93032100";"AUTRE FRAIS DE PERSONNEL PRODUCTIFS";
"930322";"FRAIS DEPART/VENTIL PAIE SUPPORT PRODUITS";"93032200";"FRAIS DEPART/VENTIL PAIE SUPPORT PRODUITS";
"930323";"FRAIS DEPART/VENTIL PAIE COMMERCIAUX";"93032300";"FRAIS DEPART/VENTIL PAIE COMMERCIAUX";
"930324";"FRAIS DEPART/VENTIL PAIE ADMINISTRATIFS";"93032400";"FRAIS DEPART/VENTIL PAIE ADMINISTRATIFS";
"930330";"LICENCIEMENT VENTIL PAIE";"93033000";"LICENCIEMENT VENTIL PAIE";
"930331";"LICENCIEMENT VENTIL PAIE PRODUCTIFS";"93033100";"LICENCIEMENT VENTIL PAIE PRODUCTIFS";
"930332";"LICENCIEMENT VENTIL PAIE SUP PRODUITS";"93033200";"LICENCIEMENT VENTIL PAIE SUP PRODUITS";
"930333";"LICENCIEMENT VENTIL PAIE COMMERCIAUX";"93033300";"LICENCIEMENT VENTIL PAIE COMMERCIAUX";
"930334";"LICENCIEMENT VENTIL PAIE ADMINISTRATIFS";"93033400";"LICENCIEMENT VENTIL PAIE ADMINISTRATIFS";
"930340";"NOTE DE FRAIS / VENTIL PAIE 900990";"93034000";"NOTE DE FRAIS / VENTIL PAIE 900990";
"930341";"NOTE DE FRAIS / VENTIL PAIE PRDUCTIFS";"93034100";"NOTE DE FRAIS / VENTIL PAIE PRDUCTIFS";
"930342";"NOTE DE FRAIS / VENTIL PAIE SUPPORT PRODUITS";"93034200";"NOTE DE FRAIS / VENTIL PAIE SUPPORT PRODUITS";
"930343";"NOTE DE FRAIS / VENTIL PAIE COMMERCIAUX";"93034300";"NOTE DE FRAIS / VENTIL PAIE COMMERCIAUX";
"930344";"NOTE DE FRAIS / VENTIL PAIE ADMINISTRATIFS";"93034400";"NOTE DE FRAIS / VENTIL PAIE ADMINISTRATIFS";
"930921";"FRAIS DEPART/VENTIL PAIE PRODUCTIFS";"93092100";"FRAIS DEPART/VENTIL PAIE PRODUCTIFS";
"931210";"SALAIRE NON IMPOSABLE VENTIL PAIE 900990";"93121000";"SALAIRE NON IMPOSABLE VENTIL PAIE 900990";
"931211";"SALAIRE NON IMPOSABLE VENTIL PAIE PRODUCTIFS";"93121100";"SALAIRE NON IMPOSABLE VENTIL PAIE PRODUCTIFS";
"931212";"SALAIRE NON IMPOSABLE VENTIL PAIE SUPPORT PRODUITS";"93121200";"SALAIRE NON IMPOSABLE VENTIL PAIE SUPPORT PRODUITS";
"931213";"SALAIRE NON IMPOSABLE VENTIL PAIE COMMERCIAUX";"93121300";"SALAIRE NON IMPOSABLE VENTIL PAIE COMMERCIAUX";
"931214";"SALAIRE NON IMPOSABLE VENTIL PAIE ADMINISTRATIFS";"93121400";"SALAIRE NON IMPOSABLE VENTIL PAIE ADMINISTRATIFS";
"931320";"RETRAITE NON IMPOSABLE VENTIL PAIE";"93132000";"RETRAITE NON IMPOSABLE VENTIL PAIE";
"931321";"SALAIRE NON IMPOSABLE VENTIL PAIE PRODUCTIFS";"93132100";"SALAIRE NON IMPOSABLE VENTIL PAIE PRODUCTIFS";
"931322";"SALAIRE NON IMPOSABLE VENTIL PAIE SUPPORT PRODUITS";"93132200";"SALAIRE NON IMPOSABLE VENTIL PAIE SUPPORT PRODUITS";
"931323";"SALAIRE NON IMPOSABLE VENTIL PAIE COMMERCIAUX";"93132300";"SALAIRE NON IMPOSABLE VENTIL PAIE COMMERCIAUX";
"931324";"SALAIRE NON IMPOSABLE VENTIL PAIE ADMINISTRATIFS";"93132400";"SALAIRE NON IMPOSABLE VENTIL PAIE ADMINISTRATIFS";
"931330";"LICENCIEMENT NON IMPOSABLE VENTIL PAIE";"93133000";"LICENCIEMENT NON IMPOSABLE VENTIL PAIE";
"931331";"LICENCIEMENT NON IMPOSABLE VENTIL PAIE PRODUCTIFS";"93133100";"LICENCIEMENT NON IMPOSABLE VENTIL PAIE PRODUCTIFS";
"931332";"LICENCIEMENT NON IMPOSABLE VENTIL PAIE SUP PRODUITS";"93133200";"LICENCIEMENT NON IMPOSABLE VENTIL PAIE SUP PRODUITS";
"931333";"LICENCIEMENT NON IMPOSABLE VENTIL PAIE COMMERCIAUX";"93133300";"LICENCIEMENT NON IMPOSABLE VENTIL PAIE COMMERCIAUX";
"931334";"LICENCIEMENT NON IMPOSABLE VENTIL PAIE ADMINISTRATIFS";"93133400";"LICENCIEMENT NON IMPOSABLE VENTIL PAIE ADMINISTRATIFS";
"939120";"prov brut cp et artt 900990";"93912000";"prov brut cp et artt 900990";
"939121";"prov brut cp et artt productifs";"93912100";"prov brut cp et artt productifs";
"939122";"prov brut cp et artt support produits";"93912200";"prov brut cp et artt support produits";
"939123";"prov brut cp et artt commerciaux";"93912300";"prov brut cp et artt commerciaux";
"939124";"prov brut cp et artt administratifs";"93912400";"prov brut cp et artt administratifs";
"939130";"prov brut 13mois,preca et pv 900990";"93913000";"prov brut 13mois,preca et pv 900990";
"939131";"prov brut 13mois,preca et pv productifs";"93913100";"prov brut 13mois,preca et pv productifs";
"939132";"prov brut 13mois,preca et pv support produits";"93913200";"prov brut 13mois,preca et pv support produits";
"939133";"prov brut 13mois,preca et pv commerciaux";"93913300";"prov brut 13mois,preca et pv commerciaux";
"939134";"prov brut 13mois,preca et pv administratifs";"93913400";"prov brut 13mois,preca et pv administratifs";
"939140";"prov chges 13mois,preca et pv 900990";"93914000";"prov chges 13mois,preca et pv 900990";
"939141";"prov chges 13mois,preca et pv productifs";"93914100";"prov chges 13mois,preca et pv productifs";
"939142";"prov chges 13mois,preca et pv support produit";"93914200";"prov chges 13mois,preca et pv support produit";
"939143";"prov chges 13mois,preca et pv commerciaux";"93914300";"prov chges 13mois,preca et pv commerciaux";
"939144";"prov chges 13mois,preca et pv administratifs";"93914400";"prov chges 13mois,preca et pv administratifs";
"939150";"prov chges sur cp et artt 900990";"93915000";"prov chges sur cp et artt 900990";
"939151";"prov chges sur cp et artt productifs";"93915100";"prov chges sur cp et artt productifs";
"939152";"prov chges sur cp et artt support produits";"93915200";"prov chges sur cp et artt support produits";
"939153";"prov chges sur cp et artt commerciaux";"93915300";"prov chges sur cp et artt commerciaux";
"939154";"prov chges sur cp et artt administratifs";"93915400";"prov chges sur cp et artt administratifs";
"939160";"PROV BRUT IJSS ET PREVOYANCE";"93916000";"PROV BRUT IJSS ET PREVOYANCE";
"939161";"PROV BRUT IJSS ET PREV PRODUCTIFS";"93916100";"PROV BRUT IJSS ET PREV PRODUCTIFS";
"939162";"PROV BRUT IJSS ET PREV SUPPORTS PRODUITS";"93916200";"PROV BRUT IJSS ET PREV SUPPORTS PRODUITS";
"939163";"PROV BRUT IJSS ET PREV COMMERCIAUX";"93916300";"PROV BRUT IJSS ET PREV COMMERCIAUX";
"939164";"PROV BRUT IJSS ET PREV ADM";"93916400";"PROV BRUT IJSS ET PREV ADM";
"939170";"PROV CHGES IJSS ET PREV (900990)";"93917000";"PROV CHGES IJSS ET PREV (900990)";
"939171";"PROV CHGES IJSS ET PREV PRODUCTIFS";"93917100";"PROV CHGES IJSS ET PREV PRODUCTIFS";
"939172";"PROV CHGES IJSS ET PREV SUPPORT PRODUITS";"93917200";"PROV CHGES IJSS ET PREV SUPPORT PRODUITS";
"939173";"PROV CHGES IJSS ET PREV COMMERCIAUX";"93917300";"PROV CHGES IJSS ET PREV COMMERCIAUX";
"939174";"PROV CHGES IJSS ET PREV ADM";"93917400";"PROV CHGES IJSS ET PREV ADM";
"999000";"CHARGES SOCIALES/VENTIL PAIE";"99900000";"CHARGES SOCIALES/VENTIL PAIE";
"999210";"CHARGES SOCIALES/VENTIL PAIE BRUT 900990";"99921000";"CHARGES SOCIALES/VENTIL PAIE BRUT 900990";
"999211";"CHARGES SOCIALES/VENTIL PAIE BRUT PRODUCTIFS";"99921100";"CHARGES SOCIALES/VENTIL PAIE BRUT PRODUCTIFS";
"999212";"CHARGES SOCIALES/VENTIL PAIE BRUT SUPPORT PRODUIT";"99921200";"CHARGES SOCIALES/VENTIL PAIE BRUT SUPPORT PRODUIT";
"999213";"CHARGES SOCIALES/VENTIL PAIE BRUT COMMERCIAUX";"99921300";"CHARGES SOCIALES/VENTIL PAIE BRUT COMMERCIAUX";
"999214";"CHARGES SOCIALES/VENTIL PAIE BRUT ADMINISTRATIFS";"99921400";"CHARGES SOCIALES/VENTIL PAIE BRUT ADMINISTRATIFS";
"999220";"CHARGES SOCIALES/VARIABLES";"99922000";"CHARGES SOCIALES/VARIABLES";
"999221";"CHARGES SOCIALES/VARIABLES PRODUCTIFS";"99922100";"CHARGES SOCIALES/VARIABLES PRODUCTIFS";
"999222";"CHARGES SOCIALES/VARIABLES SUPPORT PRODUITS";"99922200";"CHARGES SOCIALES/VARIABLES SUPPORT PRODUITS";
"999223";"CHARGES SOCIALES/VENTIL PAIE PRIMES COMMERCIAUX";"99922300";"CHARGES SOCIALES/VENTIL PAIE PRIMES COMMERCIAUX";
"999224";"CHARGES SOCIALES/VARIABLES ADMINISTRATIFS";"99922400";"CHARGES SOCIALES/VARIABLES ADMINISTRATIFS";
"999233";"CHARGES SOCIALES/VARIABLES COMMERCIAUX";"99923300";"CHARGES SOCIALES/VARIABLES COMMERCIAUX";
"999240";"CHARGES SOCIALES/VENTIL PAIE CP 900990";"99924000";"CHARGES SOCIALES/VENTIL PAIE CP 900990";
"999241";"CHARGES SOCIALES/VENTIL PAIE CP PRODUCTIFS";"99924100";"CHARGES SOCIALES/VENTIL PAIE CP PRODUCTIFS";
